customer_id,first_name,last_name,email,phone,company,city,account_value,last_active,num_accounts,growth_rate,status
CUST-00001,Michelle,Moore,michelle.moore@business.net,+1-868-465-8439,Digital Media Co,"Los Angeles, CA",65631.0,2025-04-24,1,18.3,pending
CUST-00002,Amanda,Anderson,amanda.anderson@company.com,+1-336-751-6983,Web Services LLC,"New York, NY",50312.54,2025-08-06,3,2.3,churned
CUST-00003,David,Gonzalez,david.gonzalez@outlook.com,+1-258-244-7438,Web Services LLC,"Chicago, IL",46332.06,2025-09-28,1,23.8,pending
CUST-00004,Amanda,Williams,amanda.williams@outlook.com,+1-296-911-5723,Data Systems Inc,"Nashville, TN",74532.33,2025-05-06,3,-7.6,inactive
CUST-00005,Andrew,Thomas,andrew.thomas@yahoo.com,+1-339-989-5079,AI Innovations,"Charlotte, NC",57049.76,2025-09-20,2,-4.8,churned
CUST-00006,Amanda,Taylor,amanda.taylor@yahoo.com,,Network Solutions,"Portland, OR",97688.87,2025-09-26,2,19.5,pending
CUST-00007,Michelle,Garcia,michelle.garcia@outlook.com,+1-992-550-9919,AI Innovations,"Chicago, IL",47475.31,2025-07-22,2,21.2,inactive
CUST-00008,Ashley,Martinez,ashley.martinez@business.net,+1-612-272-5445,Cloud Solutions,"New York, NY",29533.79,2025-09-18,1,1.3,pending
CUST-00009,Stephanie,Lopez,stephanie.lopez@business.net,+1-787-455-9380,Tech Corp,"New York, NY",43975.79,2025-06-16,5,13.1,inactive
CUST-00010,Nicole,Smith,nicole.smith@gmail.com,+1-683-597-4225,Tech Corp,"Denver, CO",95169.7,2025-09-15,4,-2.5,pending
CUST-00011,Sarah,Gonzalez,sarah.gonzalez@business.net,,Digital Media Co,"Seattle, WA",84987.41,2025-07-17,5,4.6,inactive
CUST-00012,Robert,Davis,robert.davis@company.com,,Analytics Group,"Charlotte, NC",97074.16,2025-09-20,1,22.4,inactive
CUST-00013,Sarah,Thomas,sarah.thomas@outlook.com,,Analytics Group,"Charlotte, NC",61112.56,2025-04-28,1,6.8,pending
CUST-00014,Ashley,Davis,ashley.davis@company.com,+1-444-676-6503,Analytics Group,"Atlanta, GA",18521.7,2025-06-19,4,21.3,pending
