order_id,customer_name,email,phone,order_date,product,quantity,price,status,region,notes
1001.0,John Smith,john@email.com,,,Widget A,5.0,29.99,completed,north,"Customer called, urgent"
1002.0,JANE DOE,jane@email.com,555.5678,15012024.0,Widget B,3.0,49.99,completed,south,"Customer called, urgent"
1003.0,Bob Johnson,,,,Widget A,1.0,29.99,pending,north,"Customer called, urgent"
1004.0,John Smith,alice@email.com,5559999.0,,Widget C,2.0,99.99,shipped,east,"Customer called, urgent"
1005.0,John Smith,john@email.com,,,Widget A,5.0,29.99,completed,north,duplicate row
1006.0,Charlie Brown,john@email.com,,20240118.0,Widget B,1.0,49.99,cancelled,west,"Customer called, urgent"
1007.0,Diana Prince,diana@email.com,555.2468,,Widget D,4.0,,completed,north,"Customer called, urgent"
1008.0,Eve Anderson,eve@email.com,,,Widget A,2.0,29.99,completed,south,"Customer called, urgent"
1009.0,Frank Miller,,,,Widget B,-1.0,49.99,completed,east,negative quantity!!!
1010.0,Grace Lee,grace@email.com,,,Widget C,3.0,99.99,pending,north,missing region
1011.0,Henry Wilson,henry@email.com,,,Widget A,2.0,29.99,completed,north,"Customer called, urgent"
1012.0,John Smith,lisa@email.com,,,Widget B,5.0,49.99,shipped,west,missing name
1013.0,Mike Davis,mike@email.com,,,Widget E,1.0,199.99,completed,south,"Customer called, urgent"
1014.0,Nina Patel,nina@email.com,,,Widget A,0.0,29.99,cancelled,east,zero quantity
1015.0,Oscar Green,,,,Widget B,2.0,49.99,completed,north,"Customer called, urgent"
1016.0,Extra Spaces,spaces@email.com,,,Widget A,3.0,29.99,pending,north,leading/trailing spaces
1017.0,MixedCase NAME,mixedcase@email.com,,,Widget C,1.0,99.99,shipped,west,"Customer called, urgent"
1018.0,Special@Char$,special!@email.com,,,Widget D,2.0,149.99,completed,east,special characters in name
1019.0,John Smith,john@email.com,,,Widget A,5.0,29.99,completed,north,another duplicate
1020.0,Émilie François,emilie@email.fr,,31012024.0,Widget B,2.0,49.99,completed,international,unicode chars
1021.0,李明,liming@email.cn,,,Widget A,1.0,29.99,shipped,asia,non-latin chars
1022.0,José García,jose@email.es,,,Widget C,3.0,49.99,pending,spain,"Customer called, urgent"
1023.0,John Smith,null@email.com,,,Widget A,1.0,29.99,completed,north,nulls as strings
1024.0,John Smith,na@email.com,,,Widget B,1.0,49.99,completed,north,N/A values
1025.0,TBD,tbd@email.com,,,Widget C,,99.99,tbd,tbd,TBD everywhere
1026.0,--,dash@email.com,,,Widget A,,29.99,--,--,dashes as nulls
1027.0,Unknown,unknown@email.com,,,Widget B,,49.99,pending,unknown,question mark
1028.0,Test User,test@test.test,123.0,,Widget A,999999.0,0.01,completed,test,extreme values
1029.0,A,a@b.c,1.0,,X,1.0,9999999.99,x,z,minimal data
1030.0,VeryLongNameThatGoesOnAndOnAndNeverSeemsToEndBecauseItJustKeepsGoingAndGoing,toolong@verylongemailaddressthatprobablyshouldnotexist.com,,,Widget With Spaces,10.0,29.99,completed,north,very long values
1031.0,,whitespace@email.com,,,Widget A,1.0,29.99,completed,north,empty name (spaces)
1032.0,John,john@email.com,,,Widget A,1.0,29.99,completed,north,"Customer called, urgent"
,multiline@email.com,,,,2,49.99,,south,newline in name,"Customer called, urgent"
1033.0,Tab	Name,tab@email.com,,,Widget C,1.0,99.99,pending,east,tab character
1034.0,"Quoted, Name",quoted@email.com,,,Widget A,3.0,29.99,completed,west,comma in quotes
1035.0,O'Brien,obrien@email.com,,,Widget B,2.0,49.99,shipped,north,apostrophe
1036.0,Same,same@email.com,,,Widget A,5.0,29.99,completed,north,"Customer called, urgent"
1036.0,Same,same@email.com,,,Widget A,5.0,29.99,completed,north,exact duplicate ID
1037.0,Mixed,mixed@email.com,,2152024.0,Widget B,3.5,49.99,completed,south,decimal quantity
1038.0,DateTest,date@email.com,,,Widget C,2.0,99.99,pending,east,month name format
1039.0,TimeIncluded,time@email.com,,,Widget A,1.0,29.99,completed,west,datetime not just date
1040.0,Future Order,future@email.com,,,Widget B,10.0,49.99,pending,north,future date
1041.0,Ancient Order,ancient@email.com,,,Widget A,1.0,29.99,completed,south,very old date
1042.0,Bad Email Format,,,,Widget C,2.0,99.99,shipped,east,invalid email
1043.0,Multiple@@Signs,multi@@email.com,,,Widget A,1.0,29.99,completed,north,"Customer called, urgent"
1044.0,No Domain,,,,Widget B,3.0,49.99,pending,west,"Customer called, urgent"
1045.0,Trailing Comma,trailing@email.com,,,Widget A,1.0,29.99,completed,south,"Customer called, urgent"
1036.0,John Smith,john@email.com,,,Widget A,1.0,29.99,completed,north,"Customer called, urgent"
1046.0,After Blank Row,blank@email.com,,,Widget B,2.0,49.99,completed,north,row after blank
